iri	iri label	entity	entity label	attribute	attribute label	qualifier	qualifier label	def
	fruit fresh weight	PO:0009001	fruit	PATO:0000128	weight	PATO:0001823	wet	weight of fresh fruit
	fruit dry weight	PO:0009001	fruit	PATO:0000128	weight	PATO:0001824	dry	weight of fruit after drying
	stem dry weight	PO:0009047	stem	PATO:0000128	weight	PATO:0001824	dry	weight of stem when water content is removed
