iri	iri label	attribute	attribute label	dividend	dividend label	divisor	divisor label
TO:0000579	root dry weight to tiller number ratio	PATO:0001470	proportionality to	TO:0000078	root dry weight	TO:0000346	tiller number
TO:0000538	large vascular bundle number to leaf area ratio	PATO:0001470	proportionality to	TO:0000539	large vascular bundle number	TO:0000540	leaf area trait
