defined_class	defined_class label	entity	entity label	plant_part	plant_part label
TO:0002666	seed phosphorus content	CHEBI:33466	monoatomic phosphorus	PO:0009010	seed
TO:0020114	shoot phosphorus content	CHEBI:33466	monoatomic phosphorus	PO:0009006	shoot system
TO:0020003	shoot potassium content	CHEBI:37247	elemental potassium	PO:0009006	shoot system
TO:0006055	selenium concentration	CHEBI:60250	selenium ion	PO:0009011	plant structure
TO:0020004	shoot sodium content	CHEBI:37246	elemental sodium	PO:0009006	shoot system
TO:0006046	sulfur concentration	CHEBI:33411	monoatomic sulfur	PO:0009011	plant structure
TO:0020090	zinc content	CHEBI:63056	zinc cation	PO:0009011	plant structure
TO:0000490	seed protein composition trait	CHEBI:36080	protein	PO:0009010	seed
TO:0020079	beta-cryptoxanthin content	CHEBI:10362	beta-cryptoxanthin	PO:0009011	plant structure
TO:0002672	auxin content	CHEBI:22676	auxin	PO:0009011	plant structure
TO:0000289	carotene content	CHEBI:23042	carotene	PO:0009011	plant structure
TO:0020118	neoxanthin content	CHEBI:25501	neoxanthin	PO:0009011	plant structure
TO:0020119	violaxanthin content	CHEBI:27295	violaxanthin	PO:0009011	plant structure
TO:0020078	zeaxanthin content	CHEBI:27547	zeaxanthin	PO:0009011	plant structure
TO:0000196	amylose content	CHEBI:28102	amylose	PO:0009011	plant structure
TO:0000476	growth hormone content	CHEBI:37848	plant hormone	PO:0009011	plant structure
TO:0000290	flavonoid content	CHEBI:47916	flavonoid	PO:0009011	plant structure
TO:0000297	glucosamine content	CHEBI:5417	glucosamine	PO:0009011	plant structure
TO:0002667	abscisic acid content	CHEBI:62431	abscisic acids	PO:0009011	plant structure
TO:0006008	carbohydrate derivative content	CHEBI:63299	carbohydrate derivative	PO:0009011	plant structure
